"subject","difficulty","curve","question_number","action","frustrate"
43,"diff","non","2",1,NA
43,"diff","non","3",2,NA
43,"diff","non","4",1,NA
43,"easy","com","1",2,4
43,"easy","com","2",2,NA
43,"easy","com","3",2,NA
43,"easy","com","4",3,NA
43,"easy","non","1",1,1
43,"easy","non","2",1,NA
43,"easy","non","3",2,NA
43,"easy","non","4",1,NA
44,"diff","com","1",2,5
44,"diff","com","2",2,NA
44,"diff","com","3",2,NA
44,"diff","com","4",2,NA
44,"diff","non","1",2,5
44,"diff","non","2",2,NA
44,"diff","non","3",2,NA
44,"diff","non","4",3,NA
44,"easy","com","1",2,5
44,"easy","com","2",2,NA
44,"easy","com","3",2,NA
44,"easy","com","4",2,NA
44,"easy","non","1",2,5
44,"easy","non","2",2,NA
44,"easy","non","3",2,NA
44,"easy","non","4",2,NA
45,"diff","com","1",2,6
45,"diff","com","2",1,NA
45,"diff","com","3",2,NA
45,"diff","com","4",1,NA
45,"diff","non","1",2,3
45,"diff","non","2",1,NA
45,"diff","non","3",2,NA
45,"diff","non","4",1,NA
45,"easy","com","1",2,5
45,"easy","com","2",1,NA
45,"easy","com","3",2,NA
45,"easy","com","4",1,NA
45,"easy","non","1",1,2
45,"easy","non","2",1,NA
45,"easy","non","3",1,NA
45,"easy","non","4",1,NA
46,"diff","com","1",4,7
46,"diff","com","2",2,NA
46,"diff","com","3",4,NA
46,"diff","com","4",3,NA
46,"diff","non","1",5,6
46,"diff","non","2",4,NA
46,"diff","non","3",5,NA
46,"diff","non","4",3,NA
46,"easy","com","1",4,4
46,"easy","com","2",3,NA
46,"easy","com","3",3,NA
46,"easy","com","4",3,NA
46,"easy","non","1",2,6
46,"easy","non","2",2,NA
46,"easy","non","3",3,NA
46,"easy","non","4",2,NA
47,"diff","com","1",1,2
47,"diff","com","2",1,NA
47,"diff","com","3",1,NA
47,"diff","com","4",1,NA
47,"diff","non","1",1,2
47,"diff","non","2",1,NA
47,"diff","non","3",1,NA
47,"diff","non","4",1,NA
47,"easy","com","1",3,4
47,"easy","com","2",1,NA
47,"easy","com","3",2,NA
47,"easy","com","4",1,NA
47,"easy","non","1",1,3
47,"easy","non","2",1,NA
47,"easy","non","3",1,NA
47,"easy","non","4",1,NA
48,"diff","com","1",2,7
48,"diff","com","2",1,NA
48,"diff","com","3",2,NA
48,"diff","com","4",1,NA
48,"diff","non","1",2,6
48,"diff","non","2",1,NA
48,"diff","non","3",2,NA
48,"diff","non","4",1,NA
48,"easy","com","1",1,6
48,"easy","com","2",1,NA
48,"easy","com","3",2,NA
48,"easy","com","4",1,NA
48,"easy","non","1",1,4
48,"easy","non","2",1,NA
48,"easy","non","3",2,NA
48,"easy","non","4",1,NA
49,"diff","com","1",2,6
49,"diff","com","2",2,NA
49,"diff","com","3",3,NA
49,"diff","com","4",2,NA
49,"diff","non","1",1,4
49,"diff","non","2",1,NA
49,"diff","non","3",2,NA
49,"diff","non","4",1,NA
49,"easy","com","1",1,4
49,"easy","com","2",1,NA
49,"easy","com","3",2,NA
49,"easy","com","4",1,NA
49,"easy","non","1",1,3
49,"easy","non","2",1,NA
49,"easy","non","3",2,NA
49,"easy","non","4",1,NA
50,"diff","com","1",4,7
50,"diff","com","2",6,NA
50,"diff","com","3",6,NA
50,"diff","com","4",1,NA
50,"diff","non","1",4,7
50,"diff","non","2",4,NA
50,"diff","non","3",5,NA
50,"diff","non","4",1,NA
50,"easy","com","1",4,6
50,"easy","com","2",4,NA
50,"easy","com","3",4,NA
50,"easy","com","4",1,NA
50,"easy","non","1",4,4
50,"easy","non","2",2,NA
50,"easy","non","3",3,NA
50,"easy","non","4",1,NA
51,"diff","com","1",2,5
51,"diff","com","2",1,NA
51,"diff","com","3",2,NA
51,"diff","com","4",5,NA
51,"diff","non","1",1,3
51,"diff","non","2",1,NA
51,"diff","non","3",1,NA
51,"diff","non","4",3,NA
51,"easy","com","1",1,5
51,"easy","com","2",1,NA
51,"easy","com","3",2,NA
51,"easy","com","4",4,NA
51,"easy","non","1",1,4
51,"easy","non","2",1,NA
51,"easy","non","3",1,NA
51,"easy","non","4",2,NA
52,"diff","com","1",3,4
52,"diff","com","2",3,NA
52,"diff","com","3",4,NA
52,"diff","com","4",1,NA
52,"diff","non","1",3,3
52,"diff","non","2",3,NA
52,"diff","non","3",3,NA
52,"diff","non","4",2,NA
52,"easy","com","1",3,3
52,"easy","com","2",2,NA
52,"easy","com","3",2,NA
52,"easy","com","4",1,NA
52,"easy","non","1",2,3
52,"easy","non","2",2,NA
52,"easy","non","3",3,NA
52,"easy","non","4",1,NA
53,"diff","com","1",3,6
53,"diff","com","2",3,NA
53,"diff","com","3",3,NA
53,"diff","com","4",3,NA
53,"diff","non","1",2,5
53,"diff","non","2",2,NA
53,"diff","non","3",2,NA
53,"diff","non","4",2,NA
53,"easy","com","1",2,2
53,"easy","com","2",2,NA
53,"easy","com","3",2,NA
53,"easy","com","4",2,NA
53,"easy","non","1",2,4
53,"easy","non","2",1,NA
53,"easy","non","3",1,NA
53,"easy","non","4",1,NA
54,"diff","com","1",6,2
54,"diff","com","2",1,NA
54,"diff","com","3",1,NA
54,"diff","com","4",1,NA
54,"diff","non","1",1,1
54,"diff","non","2",1,NA
54,"diff","non","3",1,NA
54,"diff","non","4",1,NA
54,"easy","com","1",1,2
54,"easy","com","2",1,NA
54,"easy","com","3",1,NA
54,"easy","com","4",1,NA
54,"easy","non","1",1,1
54,"easy","non","2",1,NA
54,"easy","non","3",1,NA
54,"easy","non","4",1,NA
55,"diff","com","1",3,7
55,"diff","com","2",4,NA
55,"diff","com","3",7,NA
55,"diff","com","4",3,NA
55,"diff","non","1",2,6
55,"diff","non","2",2,NA
55,"diff","non","3",6,NA
55,"diff","non","4",4,NA
55,"easy","com","1",2,6
55,"easy","com","2",1,NA
55,"easy","com","3",6,NA
55,"easy","com","4",4,NA
55,"easy","non","1",2,6
55,"easy","non","2",3,NA
55,"easy","non","3",6,NA
55,"easy","non","4",3,NA
56,"diff","com","1",6,7
56,"diff","com","2",4,NA
56,"diff","com","3",7,NA
56,"diff","com","4",7,NA
56,"diff","non","1",2,6
56,"diff","non","2",2,NA
56,"diff","non","3",6,NA
56,"diff","non","4",6,NA
56,"easy","com","1",1,5
56,"easy","com","2",2,NA
56,"easy","com","3",5,NA
56,"easy","com","4",2,NA
56,"easy","non","1",1,2
56,"easy","non","2",1,NA
56,"easy","non","3",3,NA
56,"easy","non","4",1,NA
57,"diff","com","1",3,6
57,"diff","com","2",2,NA
57,"diff","com","3",2,NA
57,"diff","com","4",2,NA
57,"diff","non","1",2,5
57,"diff","non","2",1,NA
57,"diff","non","3",1,NA
57,"diff","non","4",1,NA
57,"easy","com","1",2,5
57,"easy","com","2",2,NA
57,"easy","com","3",2,NA
57,"easy","com","4",2,NA
57,"easy","non","1",2,4
57,"easy","non","2",1,NA
57,"easy","non","3",1,NA
57,"easy","non","4",1,NA
58,"diff","com","1",4,5
58,"diff","com","2",4,NA
58,"diff","com","3",4,NA
58,"diff","com","4",3,NA
58,"diff","non","1",4,5
58,"diff","non","2",3,NA
58,"diff","non","3",4,NA
58,"diff","non","4",2,NA
58,"easy","com","1",3,4
58,"easy","com","2",3,NA
58,"easy","com","3",4,NA
58,"easy","com","4",2,NA
58,"easy","non","1",1,3
58,"easy","non","2",2,NA
58,"easy","non","3",4,NA
58,"easy","non","4",2,NA
59,"diff","com","1",3,4
59,"diff","com","2",3,NA
59,"diff","com","3",3,NA
59,"diff","com","4",3,NA
59,"diff","non","1",3,5
59,"diff","non","2",3,NA
59,"diff","non","3",3,NA
59,"diff","non","4",4,NA
59,"easy","com","1",4,3
59,"easy","com","2",3,NA
59,"easy","com","3",4,NA
59,"easy","com","4",5,NA
59,"easy","non","1",2,3
59,"easy","non","2",2,NA
59,"easy","non","3",2,NA
